epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,79.9928,1.13941,2.12414,1.2752,0.74122,0.6324,0.77034,0.53052,1.07159,4.39869,1.28475,0.070098,0.00332244,0.00332244
2,150.37,1.08627,1.21062,1.30906,0.70094,0.68547,0.83026,0.63019,0.9164,2.78142,1.23099,0.0400321,0.00658988,0.00658988
3,217.641,0.99067,0.9986,1.24175,0.89186,0.88916,0.9678,0.80027,0.6525,0.77471,1.04556,0.00990025,0.00979132,0.00979132
4,284.93,0.84945,0.79478,1.14453,0.932,0.93034,0.97977,0.73436,0.91012,0.69493,1.21093,0.009703,0.009703,0.009703
5,352.152,0.78665,0.6997,1.1091,0.94012,0.95053,0.98421,0.87223,0.50016,0.51396,0.95132,0.009604,0.009604,0.009604
6,418.855,0.74682,0.63229,1.07805,0.96776,0.95955,0.98657,0.79687,0.73398,0.49343,1.08553,0.009505,0.009505,0.009505
7,485.769,0.71055,0.58288,1.05836,0.97739,0.9678,0.98966,0.82429,0.66816,0.4441,1.10349,0.009406,0.009406,0.009406
8,552.286,0.67686,0.52473,1.03155,0.96607,0.98452,0.99186,0.8598,0.56303,0.39981,1.02194,0.009307,0.009307,0.009307
9,619.233,0.65654,0.51359,1.02203,0.97344,0.98351,0.99192,0.89179,0.46227,0.37354,0.92249,0.009208,0.009208,0.009208
10,686.032,0.65709,0.51894,1.0258,0.98504,0.95806,0.99279,0.90306,0.4394,0.35776,0.92228,0.009109,0.009109,0.009109
11,752.709,0.64199,0.48726,1.01254,0.97667,0.98801,0.99476,0.9047,0.42816,0.33933,0.89847,0.00901,0.00901,0.00901
12,819.383,0.63015,0.46731,1.01452,0.98825,0.98748,0.99472,0.90801,0.4265,0.31057,0.91284,0.008911,0.008911,0.008911
13,885.56,0.61199,0.4436,0.99367,0.98571,0.98707,0.99276,0.90515,0.42637,0.30611,0.89634,0.008812,0.008812,0.008812
14,952.573,0.595,0.42551,0.99123,0.98518,0.994,0.9945,0.92025,0.39179,0.28827,0.88201,0.008713,0.008713,0.008713
15,1019.53,0.5821,0.42385,0.98043,0.98538,0.99207,0.9944,0.92208,0.3831,0.29361,0.88212,0.008614,0.008614,0.008614
16,1086.14,0.57896,0.41323,0.9761,0.98824,0.99364,0.99479,0.91787,0.39849,0.27906,0.90498,0.008515,0.008515,0.008515
17,1153.56,0.56766,0.40313,0.97306,0.98335,0.99225,0.99487,0.92381,0.38455,0.26092,0.88363,0.008416,0.008416,0.008416
18,1220.31,0.55493,0.38605,0.96227,0.98451,0.99433,0.9946,0.93897,0.34434,0.24271,0.86128,0.008317,0.008317,0.008317
19,1287.27,0.56472,0.37587,0.97111,0.98425,0.99745,0.99386,0.93574,0.34372,0.24565,0.85633,0.008218,0.008218,0.008218
20,1354.21,0.54566,0.36275,0.95038,0.98826,0.9901,0.99374,0.92029,0.40018,0.25782,0.88875,0.008119,0.008119,0.008119
21,1421.43,0.53959,0.36723,0.95523,0.98973,0.99009,0.99479,0.9346,0.35492,0.24262,0.86507,0.00802,0.00802,0.00802
22,1487.82,0.54509,0.36066,0.95978,0.98804,0.99409,0.9941,0.93017,0.35472,0.24082,0.86572,0.007921,0.007921,0.007921
23,1555.16,0.54851,0.36768,0.96268,0.98171,0.99427,0.99378,0.93609,0.35054,0.24037,0.85959,0.007822,0.007822,0.007822
24,1622.67,0.52954,0.36338,0.95109,0.97867,0.99585,0.99435,0.94318,0.33337,0.23489,0.85076,0.007723,0.007723,0.007723
25,1689.93,0.52005,0.34946,0.94553,0.98981,0.99302,0.99446,0.94436,0.33494,0.22836,0.85469,0.007624,0.007624,0.007624
26,1757.34,0.51782,0.34511,0.9437,0.99057,0.99393,0.99451,0.9399,0.33901,0.21969,0.8547,0.007525,0.007525,0.007525
27,1824.07,0.51625,0.34364,0.94177,0.98684,0.99419,0.99481,0.94275,0.33918,0.22535,0.8526,0.007426,0.007426,0.007426
28,1891.3,0.50919,0.33755,0.9411,0.98877,0.99118,0.99435,0.94818,0.33141,0.21994,0.84822,0.007327,0.007327,0.007327
29,1958.39,0.50888,0.33491,0.93791,0.98919,0.99433,0.99459,0.94245,0.32646,0.21591,0.84261,0.007228,0.007228,0.007228
30,2025.11,0.50227,0.32242,0.93319,0.98876,0.99058,0.99431,0.95008,0.31245,0.2047,0.83821,0.007129,0.007129,0.007129
31,2092,0.49028,0.31917,0.92887,0.99035,0.99443,0.99463,0.94942,0.31852,0.20563,0.8414,0.00703,0.00703,0.00703
32,2158.5,0.49258,0.32212,0.93086,0.99312,0.99339,0.9942,0.94383,0.33194,0.21105,0.84939,0.006931,0.006931,0.006931
33,2225.59,0.48837,0.31999,0.93096,0.98716,0.99518,0.99443,0.95013,0.31283,0.20175,0.83503,0.006832,0.006832,0.006832
34,2292.29,0.47989,0.30714,0.92345,0.99104,0.99403,0.99379,0.94821,0.32643,0.20491,0.84188,0.006733,0.006733,0.006733
35,2359.38,0.4832,0.31716,0.92536,0.99176,0.99487,0.99496,0.94867,0.3196,0.20031,0.84181,0.006634,0.006634,0.006634
36,2426.53,0.47442,0.3036,0.92259,0.98781,0.99891,0.99497,0.95039,0.31359,0.19771,0.83251,0.006535,0.006535,0.006535
37,2493.28,0.47773,0.30491,0.92322,0.98953,0.99788,0.99497,0.94555,0.31961,0.20153,0.83855,0.006436,0.006436,0.006436
38,2560.14,0.46586,0.30113,0.91778,0.99389,0.98876,0.99468,0.95539,0.29907,0.1908,0.82736,0.006337,0.006337,0.006337
39,2627.35,0.45764,0.29577,0.91424,0.99128,0.9954,0.995,0.95609,0.30299,0.19338,0.83265,0.006238,0.006238,0.006238
40,2694.7,0.45922,0.29574,0.91468,0.99145,0.9927,0.99482,0.95497,0.30518,0.19005,0.83065,0.006139,0.006139,0.006139
41,2761.48,0.45907,0.29152,0.91189,0.99428,0.99785,0.99442,0.9595,0.29507,0.18575,0.83185,0.00604,0.00604,0.00604
42,2828.86,0.45667,0.29004,0.90973,0.99294,0.99644,0.99495,0.9553,0.30255,0.18466,0.83043,0.005941,0.005941,0.005941
43,2895.95,0.45397,0.28693,0.90957,0.99236,0.99302,0.99466,0.95916,0.29411,0.18553,0.82431,0.005842,0.005842,0.005842
