epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
44,2515.15,0.49589,0.35293,0.91402,0.98789,0.9939,0.99411,0.94631,0.32548,0.22247,0.82227,0.005743,0.005743,0.005743
45,2569.1,0.49359,0.33947,0.91065,0.99145,0.99411,0.99416,0.94463,0.32785,0.22311,0.82378,0.005644,0.005644,0.005644
46,2622.74,0.48288,0.34251,0.90579,0.99119,0.99643,0.99439,0.94778,0.32375,0.22377,0.82265,0.005545,0.005545,0.005545
47,2676.77,0.48878,0.33826,0.91129,0.99042,0.99553,0.9944,0.94911,0.32248,0.21754,0.82028,0.005446,0.005446,0.005446
48,2730.49,0.47502,0.33251,0.90543,0.99144,0.99652,0.99429,0.94439,0.32486,0.21808,0.82082,0.005347,0.005347,0.005347
49,2784.07,0.47447,0.32486,0.90385,0.99314,0.99203,0.99432,0.95195,0.31337,0.21043,0.81914,0.005248,0.005248,0.005248
50,2837.87,0.47348,0.32609,0.89971,0.99312,0.99229,0.99439,0.94596,0.31707,0.21108,0.81626,0.005149,0.005149,0.005149
51,2891.58,0.47275,0.32574,0.89586,0.99124,0.9942,0.99416,0.95068,0.3176,0.21546,0.81661,0.00505,0.00505,0.00505
52,2945.62,0.47336,0.33314,0.89491,0.9927,0.99665,0.99468,0.94806,0.31569,0.20644,0.81561,0.004951,0.004951,0.004951
53,2999.42,0.4719,0.32566,0.89653,0.98922,0.99611,0.99427,0.94994,0.30623,0.20885,0.8138,0.004852,0.004852,0.004852
54,3053.34,0.47007,0.32147,0.89812,0.99375,0.99736,0.99432,0.95483,0.30353,0.19974,0.81187,0.004753,0.004753,0.004753
55,3107.14,0.4657,0.32144,0.89953,0.99261,0.99286,0.99437,0.95194,0.30267,0.20859,0.81259,0.004654,0.004654,0.004654
56,3160.94,0.45519,0.3125,0.89115,0.99026,0.99546,0.99429,0.95566,0.30683,0.1977,0.81279,0.004555,0.004555,0.004555
57,3215.01,0.46404,0.31436,0.89563,0.99304,0.99433,0.99432,0.95372,0.30077,0.1949,0.81097,0.004456,0.004456,0.004456
58,3268.89,0.45163,0.30394,0.89018,0.99033,0.99412,0.99423,0.95426,0.30242,0.19488,0.81058,0.004357,0.004357,0.004357
59,3323.09,0.45761,0.30493,0.89498,0.98881,0.99594,0.99438,0.95585,0.29944,0.19158,0.80969,0.004258,0.004258,0.004258
60,3376.82,0.45485,0.30505,0.89095,0.99158,0.99631,0.99435,0.9532,0.30107,0.19573,0.80898,0.004159,0.004159,0.004159
61,3430.97,0.44927,0.30439,0.8892,0.99252,0.99543,0.99437,0.95635,0.29577,0.19415,0.80891,0.00406,0.00406,0.00406
62,3484.97,0.44438,0.29939,0.8861,0.99021,0.99758,0.99431,0.95379,0.30331,0.19219,0.80869,0.003961,0.003961,0.003961
63,3538.63,0.44601,0.30094,0.89027,0.98961,0.99774,0.9949,0.95724,0.2943,0.19089,0.8088,0.003862,0.003862,0.003862
64,3592.58,0.43922,0.3007,0.88598,0.99285,0.99657,0.9944,0.95668,0.29254,0.18555,0.80715,0.003763,0.003763,0.003763
65,3646.31,0.43837,0.28853,0.88391,0.99341,0.99534,0.99463,0.95597,0.29752,0.1899,0.81025,0.003664,0.003664,0.003664
66,3700.5,0.44051,0.29159,0.8867,0.99273,0.99467,0.99439,0.95591,0.29217,0.1864,0.80797,0.003565,0.003565,0.003565
67,3754.35,0.43544,0.28942,0.88447,0.99269,0.99534,0.99471,0.95495,0.29623,0.1845,0.80673,0.003466,0.003466,0.003466
68,3808.46,0.43276,0.28803,0.87988,0.99153,0.99563,0.99434,0.95856,0.29456,0.18497,0.80677,0.003367,0.003367,0.003367
69,3862.62,0.42877,0.28644,0.88083,0.98915,0.99461,0.99435,0.95832,0.29329,0.18347,0.80551,0.003268,0.003268,0.003268
70,3916.66,0.43224,0.27928,0.87913,0.99472,0.99343,0.99461,0.9578,0.29181,0.18132,0.8063,0.003169,0.003169,0.003169
71,3970.83,0.43292,0.28359,0.8815,0.99403,0.99638,0.99491,0.96178,0.28916,0.1802,0.80552,0.00307,0.00307,0.00307
72,4024.87,0.42768,0.28091,0.87516,0.99276,0.99595,0.99459,0.96157,0.29103,0.17989,0.80621,0.002971,0.002971,0.002971
73,4079.09,0.42222,0.27271,0.8822,0.99387,0.99567,0.99439,0.96076,0.28381,0.17709,0.80496,0.002872,0.002872,0.002872
74,4132.86,0.42461,0.27908,0.87976,0.99512,0.99572,0.99438,0.95927,0.29108,0.17814,0.80445,0.002773,0.002773,0.002773
75,4186.63,0.42111,0.27958,0.87948,0.99398,0.99654,0.99435,0.95956,0.28667,0.17572,0.80415,0.002674,0.002674,0.002674
76,4240.74,0.41415,0.27179,0.8712,0.9934,0.99565,0.99476,0.96179,0.28725,0.17664,0.8045,0.002575,0.002575,0.002575
77,4294.51,0.42223,0.27691,0.87753,0.99416,0.99512,0.99471,0.96024,0.28898,0.17405,0.80443,0.002476,0.002476,0.002476
78,4348.53,0.41755,0.27448,0.87361,0.99473,0.99489,0.99489,0.96249,0.2876,0.17736,0.80372,0.002377,0.002377,0.002377
79,4402.46,0.41374,0.26656,0.87317,0.99402,0.99748,0.99466,0.96115,0.28398,0.17414,0.80325,0.002278,0.002278,0.002278
80,4456.46,0.40829,0.26449,0.86807,0.99369,0.99489,0.99479,0.96214,0.28293,0.17178,0.80213,0.002179,0.002179,0.002179
81,4510.3,0.40575,0.26112,0.8695,0.99425,0.99703,0.99471,0.96288,0.28306,0.17145,0.80213,0.00208,0.00208,0.00208
82,4564.02,0.40649,0.2595,0.86816,0.99338,0.9968,0.99444,0.96349,0.2823,0.17187,0.80176,0.001981,0.001981,0.001981
83,4618.16,0.40365,0.2586,0.86746,0.99364,0.99685,0.9944,0.96334,0.28288,0.17005,0.8008,0.001882,0.001882,0.001882
84,4672.12,0.40004,0.25668,0.86514,0.99472,0.9967,0.99442,0.96264,0.28084,0.17016,0.80163,0.001783,0.001783,0.001783
85,4726.03,0.40501,0.2606,0.86875,0.9943,0.99646,0.99463,0.96413,0.28148,0.16916,0.80078,0.001684,0.001684,0.001684
86,4779.75,0.40308,0.25443,0.86482,0.99339,0.99679,0.99444,0.96507,0.28016,0.16691,0.80049,0.001585,0.001585,0.001585
87,4833.41,0.39674,0.25341,0.86501,0.99427,0.99796,0.99441,0.96462,0.28156,0.16912,0.80106,0.001486,0.001486,0.001486
88,4886.95,0.39609,0.25197,0.86601,0.99466,0.99802,0.99444,0.96577,0.27995,0.16851,0.80003,0.001387,0.001387,0.001387
89,4940.72,0.39367,0.24966,0.85847,0.99463,0.99743,0.99443,0.96377,0.28106,0.16685,0.80009,0.001288,0.001288,0.001288
90,4994.69,0.38835,0.24367,0.86142,0.99488,0.99661,0.9944,0.96471,0.27664,0.16606,0.79954,0.001189,0.001189,0.001189
91,5049.86,0.34884,0.20579,0.82947,0.99463,0.99613,0.99446,0.96496,0.28036,0.16842,0.80146,0.00109,0.00109,0.00109
92,5103.81,0.33845,0.19833,0.82836,0.99366,0.99571,0.99443,0.96443,0.27965,0.16604,0.80145,0.000991,0.000991,0.000991
93,5157.58,0.33723,0.19896,0.82715,0.99436,0.99718,0.9948,0.96542,0.27883,0.16547,0.80081,0.000892,0.000892,0.000892
94,5211.24,0.33401,0.19448,0.82752,0.99458,0.99717,0.99474,0.96627,0.27737,0.16509,0.80054,0.000793,0.000793,0.000793
95,5265.24,0.33104,0.19186,0.8275,0.99433,0.9973,0.99447,0.96636,0.27685,0.16441,0.80077,0.000694,0.000694,0.000694
96,5319.11,0.3266,0.18903,0.82076,0.9947,0.99829,0.99451,0.96573,0.2772,0.16349,0.80076,0.000595,0.000595,0.000595
97,5373,0.32718,0.18759,0.82598,0.99503,0.9973,0.99447,0.9678,0.27743,0.16311,0.80039,0.000496,0.000496,0.000496
98,5426.46,0.32207,0.18594,0.81924,0.99463,0.99683,0.99447,0.96808,0.27654,0.16246,0.79996,0.000397,0.000397,0.000397
99,5480.2,0.31961,0.18412,0.81684,0.99433,0.99698,0.99448,0.9685,0.27627,0.16209,0.79938,0.000298,0.000298,0.000298
100,5533.42,0.31937,0.18456,0.82067,0.99471,0.99741,0.99447,0.96827,0.27521,0.16115,0.7991,0.000199,0.000199,0.000199
