epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,142.459,1.20074,2.51965,1.17337,0.60569,0.3543,0.41697,0.30955,0.93268,21.9653,1.15095,0.070098,0.00332244,0.00332244
2,179.258,1.13421,1.41301,1.20872,0.73271,0.74131,0.82795,0.6359,0.83288,2.28073,1.07223,0.0400321,0.00658988,0.00658988
3,215.134,1.03086,1.13987,1.1615,0.79808,0.73046,0.83369,0.66675,0.73178,1.60688,1.01591,0.00990025,0.00979132,0.00979132
4,250.589,0.90808,0.92415,1.0955,0.91005,0.86599,0.96627,0.77697,0.72604,0.91043,1.01174,0.009703,0.009703,0.009703
5,286.2,0.8469,0.8198,1.05968,0.89178,0.89415,0.96857,0.84189,0.54452,0.68009,0.92033,0.009604,0.009604,0.009604
6,321.496,0.78085,0.7261,1.02676,0.91963,0.92457,0.96945,0.84552,0.54978,0.58289,0.9284,0.009505,0.009505,0.009505
7,356.709,0.75095,0.67232,1.01113,0.95732,0.9634,0.98934,0.84464,0.59512,0.49474,0.94642,0.009406,0.009406,0.009406
8,391.927,0.7183,0.63003,0.99229,0.94534,0.95688,0.98324,0.87082,0.49531,0.51972,0.88454,0.009307,0.009307,0.009307
9,427.222,0.70047,0.59692,0.97922,0.94319,0.97074,0.99058,0.88481,0.48039,0.45045,0.88035,0.009208,0.009208,0.009208
10,462.647,0.68946,0.5826,0.97555,0.8882,0.8485,0.92139,0.82326,0.48305,0.87034,0.87309,0.009109,0.009109,0.009109
11,497.721,0.67305,0.55492,0.96974,0.98012,0.97615,0.99147,0.85588,0.56423,0.42154,0.92604,0.00901,0.00901,0.00901
12,532.926,0.66411,0.54007,0.96986,0.98302,0.97643,0.99254,0.88577,0.48503,0.37082,0.86802,0.008911,0.008911,0.008911
13,568.239,0.65947,0.51769,0.95539,0.97562,0.98533,0.99301,0.90234,0.44195,0.37355,0.85828,0.008812,0.008812,0.008812
14,603.497,0.62423,0.49066,0.94794,0.98145,0.98631,0.99363,0.90047,0.42548,0.35514,0.8542,0.008713,0.008713,0.008713
15,638.959,0.61611,0.49068,0.94105,0.96886,0.98728,0.99353,0.8938,0.44506,0.38231,0.85514,0.008614,0.008614,0.008614
16,674.624,0.6135,0.48369,0.94167,0.97474,0.98138,0.99366,0.91246,0.41434,0.3352,0.84822,0.008515,0.008515,0.008515
17,709.673,0.60491,0.47111,0.93562,0.97368,0.98942,0.99323,0.89729,0.43941,0.33633,0.85985,0.008416,0.008416,0.008416
18,744.407,0.59581,0.44827,0.9285,0.97426,0.98061,0.99291,0.91537,0.40282,0.33294,0.84521,0.008317,0.008317,0.008317
19,779.68,0.58267,0.43903,0.92684,0.9706,0.99182,0.99411,0.91901,0.3883,0.31955,0.833,0.008218,0.008218,0.008218
20,814.864,0.57539,0.42674,0.91545,0.97913,0.98167,0.99334,0.91845,0.39584,0.31548,0.8362,0.008119,0.008119,0.008119
21,850.375,0.56985,0.4365,0.92001,0.98947,0.98291,0.99444,0.92077,0.39711,0.30413,0.83603,0.00802,0.00802,0.00802
22,885.382,0.57707,0.42528,0.92404,0.98878,0.98759,0.99357,0.92221,0.37927,0.29519,0.83306,0.007921,0.007921,0.007921
23,920.842,0.57388,0.43384,0.92411,0.97556,0.99485,0.99364,0.91717,0.38921,0.31187,0.83538,0.007822,0.007822,0.007822
24,956.274,0.5634,0.42587,0.92082,0.97738,0.99197,0.99428,0.91879,0.38411,0.29506,0.83252,0.007723,0.007723,0.007723
25,991.666,0.55516,0.41021,0.9112,0.98946,0.99339,0.99474,0.93423,0.35853,0.28078,0.82284,0.007624,0.007624,0.007624
26,1027.02,0.56326,0.40992,0.91408,0.99142,0.9933,0.99466,0.92144,0.39601,0.27395,0.83367,0.007525,0.007525,0.007525
27,1062.28,0.55079,0.40238,0.91308,0.9897,0.99345,0.99488,0.93395,0.36191,0.27302,0.82297,0.007426,0.007426,0.007426
28,1097.42,0.54587,0.39742,0.91024,0.98947,0.99143,0.99413,0.93091,0.35539,0.27047,0.81852,0.007327,0.007327,0.007327
29,1132.88,0.54218,0.39436,0.90763,0.99022,0.99436,0.99469,0.92898,0.3599,0.26604,0.82023,0.007228,0.007228,0.007228
30,1168.07,0.53291,0.3794,0.8986,0.98937,0.99511,0.99411,0.93408,0.34808,0.27508,0.81827,0.007129,0.007129,0.007129
31,1203.83,0.52716,0.38129,0.90177,0.98912,0.99441,0.99454,0.93332,0.35856,0.25967,0.81863,0.00703,0.00703,0.00703
32,1238.69,0.52369,0.38117,0.89897,0.98995,0.98068,0.99282,0.9327,0.35742,0.26561,0.81687,0.006931,0.006931,0.006931
33,1273.91,0.51767,0.36685,0.89687,0.98765,0.99521,0.99412,0.93143,0.36169,0.26489,0.82097,0.006832,0.006832,0.006832
34,1309.03,0.52161,0.36288,0.8975,0.98998,0.99699,0.99447,0.93769,0.34183,0.24775,0.81393,0.006733,0.006733,0.006733
35,1344.39,0.5149,0.36976,0.90011,0.98814,0.99378,0.99477,0.93911,0.3428,0.24678,0.81482,0.006634,0.006634,0.006634
36,1379.37,0.50601,0.35609,0.89179,0.98745,0.99337,0.99491,0.93832,0.34254,0.23476,0.81066,0.006535,0.006535,0.006535
37,1414.46,0.51105,0.3598,0.89258,0.99022,0.99438,0.99436,0.93288,0.36297,0.25069,0.81711,0.006436,0.006436,0.006436
38,1449.35,0.49665,0.35122,0.88829,0.99191,0.99426,0.99491,0.94329,0.32461,0.23603,0.80692,0.006337,0.006337,0.006337
39,1484.48,0.49652,0.35413,0.88775,0.99239,0.99483,0.99485,0.94158,0.32839,0.23914,0.80876,0.006238,0.006238,0.006238
40,1520.06,0.49649,0.34681,0.88567,0.99115,0.98795,0.99435,0.95041,0.3181,0.22987,0.80564,0.006139,0.006139,0.006139
41,1555.36,0.48554,0.34286,0.88091,0.98971,0.99315,0.99433,0.94743,0.32174,0.23148,0.80562,0.00604,0.00604,0.00604
42,1591,0.49022,0.34019,0.88205,0.98535,0.99506,0.99409,0.94954,0.31237,0.22566,0.80254,0.005941,0.005941,0.005941
43,1626.01,0.48468,0.33425,0.88219,0.99134,0.99442,0.99493,0.94872,0.32036,0.22439,0.80424,0.005842,0.005842,0.005842
44,1661.39,0.48421,0.33705,0.87837,0.99143,0.99445,0.99431,0.94878,0.31327,0.22593,0.8006,0.005743,0.005743,0.005743
45,1697.08,0.49088,0.33188,0.8801,0.99144,0.99405,0.99431,0.94365,0.32724,0.22509,0.80496,0.005644,0.005644,0.005644
46,1732.09,0.47542,0.33228,0.87916,0.99123,0.99593,0.99496,0.95214,0.31307,0.21602,0.80202,0.005545,0.005545,0.005545
47,1767.4,0.47457,0.32997,0.87678,0.99226,0.99637,0.99491,0.94707,0.31633,0.21538,0.80249,0.005446,0.005446,0.005446
48,1802.54,0.46614,0.32002,0.87597,0.99299,0.99638,0.99487,0.94817,0.3124,0.21302,0.80224,0.005347,0.005347,0.005347
49,1837.94,0.46524,0.31737,0.87435,0.99221,0.99606,0.99496,0.95282,0.30804,0.20769,0.79917,0.005248,0.005248,0.005248
50,1873.38,0.46415,0.31425,0.86946,0.99176,0.99468,0.99497,0.95106,0.31296,0.21116,0.80159,0.005149,0.005149,0.005149
51,1908.53,0.46068,0.31252,0.86561,0.99264,0.99616,0.99496,0.95492,0.30416,0.20849,0.79972,0.00505,0.00505,0.00505
52,1944.02,0.46248,0.31721,0.86614,0.9911,0.99523,0.99495,0.95023,0.30741,0.20586,0.79844,0.004951,0.004951,0.004951
53,1979.28,0.45961,0.30782,0.8679,0.99049,0.99697,0.99452,0.95708,0.29825,0.20319,0.79813,0.004852,0.004852,0.004852
54,2014.63,0.4591,0.31243,0.8676,0.99321,0.99749,0.99493,0.95496,0.29997,0.20181,0.79664,0.004753,0.004753,0.004753
55,2049.99,0.45623,0.31279,0.8709,0.99432,0.99459,0.995,0.95377,0.2963,0.19948,0.79687,0.004654,0.004654,0.004654
56,2084.97,0.44877,0.30148,0.86203,0.99247,0.99663,0.99498,0.95497,0.29691,0.19672,0.79583,0.004555,0.004555,0.004555
57,2120.04,0.45089,0.30519,0.866,0.99144,0.99594,0.99469,0.95573,0.30451,0.20677,0.79872,0.004456,0.004456,0.004456
58,2155.18,0.44229,0.29533,0.86184,0.99412,0.99647,0.99499,0.95817,0.29603,0.19546,0.79733,0.004357,0.004357,0.004357
59,2190.41,0.44777,0.2971,0.8655,0.99292,0.99788,0.99499,0.95696,0.29321,0.19468,0.79585,0.004258,0.004258,0.004258
60,2225.81,0.44691,0.29697,0.86311,0.99382,0.99667,0.99499,0.95561,0.29697,0.19439,0.79605,0.004159,0.004159,0.004159
61,2261.15,0.4418,0.29456,0.86428,0.99385,0.99598,0.99496,0.95912,0.28977,0.19152,0.79364,0.00406,0.00406,0.00406
62,2296.11,0.43523,0.29098,0.86041,0.99472,0.99752,0.99499,0.9574,0.29503,0.19237,0.79555,0.003961,0.003961,0.003961
63,2331.35,0.4318,0.28883,0.86098,0.99228,0.99597,0.99494,0.95791,0.2909,0.18867,0.79382,0.003862,0.003862,0.003862
64,2366.87,0.4283,0.2878,0.86005,0.9932,0.99749,0.99499,0.9599,0.28601,0.1874,0.79295,0.003763,0.003763,0.003763
65,2402.74,0.42533,0.27982,0.85728,0.99323,0.99539,0.99496,0.95785,0.28884,0.18695,0.79131,0.003664,0.003664,0.003664
66,2437.9,0.43091,0.28201,0.86247,0.99353,0.99453,0.99485,0.95962,0.28972,0.18852,0.79421,0.003565,0.003565,0.003565
67,2473.06,0.42346,0.28144,0.85817,0.9944,0.997,0.99496,0.96071,0.28947,0.18627,0.79485,0.003466,0.003466,0.003466
68,2508.57,0.4251,0.28044,0.8544,0.99286,0.99585,0.99493,0.96119,0.29129,0.18415,0.79465,0.003367,0.003367,0.003367
69,2544.13,0.42142,0.27669,0.8565,0.99412,0.99562,0.99499,0.96156,0.28728,0.18153,0.79276,0.003268,0.003268,0.003268
70,2579.52,0.41988,0.27269,0.85277,0.99312,0.99705,0.99496,0.96118,0.285,0.17997,0.79279,0.003169,0.003169,0.003169
71,2614.99,0.42041,0.27431,0.85461,0.99519,0.99711,0.99493,0.96433,0.27965,0.17831,0.79112,0.00307,0.00307,0.00307
72,2650.15,0.41536,0.2713,0.84978,0.99284,0.99628,0.99496,0.96028,0.28486,0.17997,0.79201,0.002971,0.002971,0.002971
