epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,4291.17,0.45222,0.3059,0.85256,0.9932,0.99565,0.99431,0.9517,0.30631,0.21019,0.79387,0.005842,0.005842,0.005842
44,4391.61,0.46086,0.30926,0.85352,0.99177,0.99337,0.99418,0.95071,0.3099,0.21155,0.79457,0.005743,0.005743,0.005743
45,4489.7,0.4576,0.305,0.85468,0.98908,0.99759,0.99472,0.95597,0.29733,0.20021,0.78995,0.005644,0.005644,0.005644
46,4591.18,0.45796,0.30207,0.85301,0.99382,0.99236,0.99473,0.95979,0.30152,0.20532,0.79246,0.005545,0.005545,0.005545
47,4690.83,0.45472,0.29699,0.85492,0.98986,0.99734,0.99471,0.95787,0.30077,0.2028,0.79105,0.005446,0.005446,0.005446
48,4788.94,0.4509,0.29648,0.85394,0.99371,0.99799,0.99456,0.95357,0.30563,0.20106,0.79255,0.005347,0.005347,0.005347
49,4888.47,0.45004,0.29772,0.85137,0.99314,0.99903,0.99492,0.95909,0.29687,0.19506,0.79048,0.005248,0.005248,0.005248
50,4987.25,0.45198,0.29459,0.8516,0.98999,0.99512,0.99463,0.95679,0.29932,0.19959,0.79205,0.005149,0.005149,0.005149
51,5085.42,0.43943,0.28842,0.85047,0.99397,0.99826,0.99433,0.95396,0.29911,0.19581,0.79185,0.00505,0.00505,0.00505
52,5183.51,0.44307,0.28883,0.85176,0.99224,0.99755,0.99435,0.95958,0.29564,0.19812,0.79237,0.004951,0.004951,0.004951
53,5282.26,0.44268,0.28943,0.85134,0.99314,0.99668,0.99436,0.95593,0.29611,0.19815,0.78945,0.004852,0.004852,0.004852
54,5382.08,0.43715,0.28409,0.84703,0.99153,0.99787,0.99429,0.95738,0.29319,0.19565,0.79019,0.004753,0.004753,0.004753
55,5480.36,0.43408,0.28737,0.84617,0.99253,0.99715,0.99474,0.95865,0.29674,0.18967,0.79095,0.004654,0.004654,0.004654
56,5578.79,0.43597,0.28437,0.84806,0.99445,0.99712,0.99473,0.9569,0.29626,0.18915,0.78998,0.004555,0.004555,0.004555
